Serial No.,Reaction Type,Description,General Formula,Source,Generated Prompt
1,Synthesis/Combination Reaction,Two or more reactants combine to form a single product,A + B → AB,https://en.wikipedia.org/wiki/Chemical_reaction,"A synthesis (or combination) reaction involves two or more simple substances combining to form a more complex compound, typically represented as \( A + B \rightarrow AB \). This type of reaction is characterized by multiple reactants yielding a single product. An example is the formation of iron(II) sulfide from iron and sulfur:

\[ 8 \text{Fe} + \text{S}_8 \rightarrow 8 \text{FeS} \]

Another example includes the reaction of hydrogen and oxygen gases to produce water. Synthesis reactions are vital for forming complex molecules from simpler ones and are represented visually among four basic chemical reaction types: synthesis, decomposition, single replacement, and double replacement."
2,Decomposition Reaction,A single compound breaks down into two or more simpler substances,AB → A + B,https://en.wikipedia.org/wiki/Chemical_reaction,"A decomposition reaction involves a complex substance breaking down into simpler components, essentially the reverse of a synthesis reaction. It is represented as \( AB \rightarrow A + B \). An example is the electrolysis of water, where water (\(2H_2O\)) decomposes into oxygen (\(O_2\)) and hydrogen gas (\(2H_2\))."
3,Single Displacement/Substitution,A more reactive element displaces a less reactive element from its compound,A + BC → AC + B,https://en.wikipedia.org/wiki/Chemical_reaction,"In a single displacement reaction, an uncombined element replaces another in a compound, effectively exchanging places with an element within the compound. The general form of this reaction is \( A + BC \rightarrow AC + B \). An example is when magnesium replaces hydrogen in water, forming solid magnesium hydroxide and releasing hydrogen gas: \( \text{Mg} + 2 \text{H}_2\text{O} \rightarrow \text{Mg(OH)}_2 + \text{H}_2 \)."
4,Double Displacement/Substitution,Two compounds exchange ions to produce two new compounds,AB + CD → AD + CB,https://en.wikipedia.org/wiki/Chemical_reaction,"Double Displacement Reaction Summary:

In a double displacement reaction, the anions and cations of two compounds exchange places, resulting in the formation of two new compounds. The general form is: 

\[ AB + CD \rightarrow AD + CB \]

**Example 1:** When barium chloride (BaCl₂) reacts with magnesium sulfate (MgSO₄), the sulfate ion (SO₄²⁻) exchanges with two chloride ions (2Cl⁻), forming barium sulfate (BaSO₄) and magnesium chloride (MgCl₂).

**Example 2:** The reaction of lead(II) nitrate (Pb(NO₃)₂) with potassium iodide (2KI) produces lead(II) iodide (PbI₂) and potassium nitrate (2KNO₃).

Key Reaction: 
\[ \text{Pb(NO}_3\text{)}_2 + 2 \text{KI} \rightarrow \text{PbI}_2 \downarrow + 2 \text{KNO}_3 \]

This type of reaction is characterized by the formation of a precipitate and is critical in various chemical applications and analyses."
5,Combustion Reaction,"A substance reacts with oxygen, releasing energy as heat and light",CₓHᵧ + O₂ → CO₂ + H₂O + energy,https://en.wikipedia.org/wiki/Chemical_reaction,"In a combustion reaction, an element or compound reacts with an oxidant, typically oxygen, producing energy as heat or light. Combustion commonly involves hydrocarbons. For example, the combustion of 1 mole (114 g) of octane (\( \text{C}_8\text{H}_{18} \)) in oxygen releases 5500 kJ and results in carbon dioxide and water: 

\[ \text{C}_8\text{H}_{18(l)} + \frac{25}{2} \text{O}_2(g) \rightarrow 8 \text{CO}_2(g) + 9 \text{H}_2\text{O}(l) \]

Other elements like carbon, magnesium, and sulfur can also undergo combustion:

\[ 2 \text{Mg}(s) + \text{O}_2(g) \rightarrow 2 \text{MgO}(s) \]

\[ \text{S}(s) + \text{O}_2(g) \rightarrow \text{SO}_2(g) \]"
6,Acid-Base/Neutralization,An acid reacts with a base to produce salt and water,Acid + Base → Salt + Water,https://en.wikipedia.org/wiki/Chemical_reaction,"In Brønsted–Lowry acid-base theory, an acid-base reaction involves the transfer of protons (H⁺) from an acid to a base. The acid loses a proton to form its conjugate base, while the base gains a proton to form its conjugate acid. The reaction is reversible, maintaining equilibrium determined by the acid and base dissociation constants (Kₐ and Kᵦ). A special case of this is neutralization, where equal amounts of acid and base form a neutral salt. Acid-base reactions can be defined by different theories: 

1. **Arrhenius**: Acids release H₃O⁺ ions in water; bases release OH⁻ ions.
2. **Brønsted-Lowry**: Acids are proton donors; bases are proton acceptors.
3. **Lewis**: Acids are electron-pair acceptors; bases are electron-pair donors. 

These definitions provide frameworks for understanding the nature and outcomes of acid-base interactions."
7,Precipitation Reaction,An insoluble solid (precipitate) forms when two aqueous solutions are mixed,AB + CD → AD(s) + BC,https://en.wikipedia.org/wiki/Chemical_reaction,"A precipitation reaction involves forming a solid in a solution or within another solid during a chemical reaction, occurring when ion concentrations surpass the solubility limit, resulting in an insoluble salt. This reaction can be facilitated by adding a precipitating agent or removing the solvent. Rapid processes yield amorphous or microcrystalline residues, while slower ones produce single crystals, which can also form via recrystallization from microcrystalline salts."
8,Redox/Oxidation-Reduction,Oxidation and reduction occur together (electron transfer),Oxidation/Reduction,https://en.wikipedia.org/wiki/Chemical_reaction,"Redox (oxidation-reduction) reactions involve the transfer of electrons, where one species acts as a reducing agent and another as an oxidizing agent, resulting in changes in oxidation states. In the given reaction, hazardous sodium metal reacts with chlorine gas to form sodium chloride. Sodium is oxidized, losing an electron and increasing its oxidation state from 0 to +1, while chlorine is reduced, gaining an electron and decreasing its oxidation state from 0 to -1. Here, sodium acts as the reducing agent and chlorine as the oxidizing agent. This reaction exemplifies the core concepts of redox processes, with electron transfer leading to compound formation."
9,Addition Reaction,Two or more molecules combine to form a larger molecule (adduct),A=B + C → A-B-C,https://en.wikipedia.org/wiki/Chemical_reaction,"**Addition Reaction Summary**

Addition reactions involve the conversion of double or triple bonds into single bonds by adding atoms or groups to the carbon atoms involved in the unsaturation. They are a counterpart to elimination reactions, which involve removing substituents to form multiple bonds.

Key Steps:
1. **Electrophilic Addition**: A common addition mechanism where an electrophile initially attacks the π-bond of a double bond, leading to the formation of a carbocation, which is then attacked by a nucleophile. This is exemplified by the addition of hydrogen bromide (HBr) across a double bond, where H+ adds first to form a carbocation followed by the nucleophilic attack by Br-.

2. **Nucleophilic Addition**: Occurs frequently in carbonyl compounds. An example is the nucleophilic addition-elimination mechanism often seen in reactions involving carbonylic compounds.

3. **Markovnikov’s Rule**: In electrophilic additions to asymmetric alkenes, the electrophile attaches in such a way that the more stable carbocation is formed, often leading to the more substituted carbon becoming bonded to the electrophile.

Applications:
- Utilized in synthesizing crucial organic compounds, including alcohols, alkanes, and various substituted hydrocarbons.
- Important in polymerization processes, such as the formation of polymers via radical mechanisms.

Understanding addition reactions and their mechanisms, such as electrophilic and nucleophilic addition, is essential for predicting the outcomes of organic synthesis and reactivity."
10,Elimination Reaction,Two substituents are removed from a molecule in either a one- or two-step mechanism,A-B-C → A=B + C,https://en.wikipedia.org/wiki/Chemical_reaction,"### Elimination Reaction Summary

**Reaction Type:** Elimination Reaction

Elimination reactions are processes that transform organic molecules by removing substituents, forming multiple bonds such as double or triple bonds. This involves the elimination of a leaving group and typically requires a base. There are two main types: 

1. **E1 Mechanism (Unimolecular Elimination):**
   - Involves two steps, starting with the formation of a carbocation as the leaving group is expelled.
   - A proton is then removed from the adjacent carbon, resulting in a double bond.
   - Competes with S_N1 substitution reactions.

2. **E2 Mechanism (Bimolecular Elimination):**
   - Occurs in a single step where the base attacks a proton simultaneously as the leaving group departs, forming a double bond without forming an intermediate.
   - Competes with S_N2 substitution reactions.
   - The anti-position attack is typical.

Elimination reactions are used for converting alkyl halides to alkenes and alkynes. The choice of base and the reaction conditions can dictate the formation of double or triple bonds and guide the reaction's regioselectivity.

**Additional Notes:**
- The electrostatic attack of a proton and Markovnikov's rule guide the regiochemistry in electrophilic addition of hydrogen halides.
- Nucleophilic addition-elimination mechanisms can also occur, particularly in aromatic compounds.
- Elimination reactions can produce more stable double bonds and are strategic in organic synthesis for constructing complex molecular architectures.

These details underscore the significance of base choice and mechanistic pathways in achieving desired structural transformations via elimination reactions."
