sl_no,model_type,model_name,reaction_type,reactions_text,reactions_composition_SMILES,invalid_SMILE,reactions_SMILES,invalid_reaction_SMILES,reactions_SMARTS,invalid_reaction_SMARTS,reactions_SMIRKS,invalid_reaction_SMIRKS
1,groq,groq/openai/gpt-oss-120b,Synthesis/Combination Reaction,8Fe + S8 -> 8FeS,"['[Fe]', 'S1SSSSSSS1', '[Fe]S']",0.0,['[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].S1SSSSSSS1>>[Fe][S].[Fe][S].[Fe][S].[Fe][S].[Fe][S].[Fe][S].[Fe][S].[Fe][S]'],0.0,['[Fe].[S]>>[Fe][S]'],0.0,['[Fe:1].[S:2]>>[Fe:1][S:2]'],0.0
2,groq,groq/openai/gpt-oss-120b,Decomposition Reaction,2H2O -> O2 + 2H2,"['O', 'O=O', '[H][H]']",0.0,['O.O>>O=O.[H][H]'],0.0,['[OH2]>>O=O.[H][H]'],0.0,['[O:1]([H:2])[H:3].[O:4]([H:5])[H:6]>>[O:1]=[O:4].[H:2][H:5].[H:3][H:6]'],0.0
3,groq,groq/openai/gpt-oss-120b,Single Displacement/Substitution,Mg + 2 H2O -> Mg(OH)2 + H2,"['[Mg]', 'O', '[Mg](O)(O)', '[H][H]']",0.0,['[Mg].O.O>>[Mg](O)O.[H][H]'],0.0,['[Mg].[OH2].[OH2]>>[Mg]([OH])([OH]).[H][H]'],0.0,['[Mg:1].[O:2]([H:3])[H:6].[O:4]([H:5])[H:7]>>[Mg:1]([O:2][H:3])([O:4][H:5]).[H:6][H:7]'],0.0
4,groq,groq/openai/gpt-oss-120b,Double Displacement/Substitution,\[ \text{Pb(NO}_3\text{)}_2 + 2 \text{KI} \rightarrow \text{PbI}_2 \downarrow + 2 \text{KNO}_3 \],"['O=[N+]([O-])O[Pb]([O-])([O-])O=[N+]([O-])O', '[K+].[I-]', 'I[Pb]I', '[K+].[O-]N(=O)=O']",0.0,['[Pb+2].[O-]N(=O)=O.[O-]N(=O)=O.[K+].[I-].[K+].[I-]>>[Pb+2].[I-].[I-].[K+].[O-]N(=O)=O.[K+].[O-]N(=O)=O'],0.0,['[Pb]([N](=O)=O)([N](=O)=O).[K][I]>>[Pb][I][I].[K][N](=O)=O'],0.0,['[Pb+2:1]([O-:2]N(=O)=O)([O-:3]N(=O)=O).[K+:4][I-:5].[K+:6][I-:7]>>[Pb+2:1]([I-:5])([I-:7]).[K+:4][O-:2]N(=O)=O.[K+:6][O-:3]N(=O)=O'],0.0
5,groq,groq/openai/gpt-oss-120b,Combustion Reaction,C8H18(l) + 25/2 O2(g) -> 8 CO2(g) + 9 H2O(l),"['CCCCCCCC', 'O=O', 'O=C=O', 'O']",0.0,['CCCCCCCC.O=O>>O=C=O.O'],0.0,['CCCCCCCC.O=O>>O=C=O.O'],0.0,"['[C:1]>>[C:1](=O)=O', '[O:1][O:2]>>[O:1].[O:2]', '[H:1][H:2][O:3]>>[O:3][H:1][H:2]']",0.0
5,groq,groq/openai/gpt-oss-120b,Combustion Reaction,2 Mg(s) + O2(g) -> 2 MgO(s),"['[Mg]', 'O=O', '[Mg]O']",0.0,['[Mg].[Mg].O=O>>[Mg]O.[Mg]O'],0.0,['[Mg].[O]=[O]>>[Mg]-[O]'],0.0,['[Mg:1].[Mg:2].[O:3]=[O:4]>>[Mg:1][O:3].[Mg:2][O:4]'],0.0
5,groq,groq/openai/gpt-oss-120b,Combustion Reaction,S(s) + O2(g) -> SO2(g),"['S', 'O=O', 'O=S=O']",0.0,['S.O=O>>O=S=O'],0.0,['[S].[O]=[O]>>[S](=O)=O'],0.0,['[S:1].[O:2]=[O:3]>>[S:1](=[O:2])=[O:3]'],0.0
6,groq,groq/openai/gpt-oss-120b,Acid-Base/Neutralization,"In Brønsted–Lowry acid-base theory, an acid-base reaction involves the transfer of protons (H⁺) from an acid to a base. The acid loses a proton to form its conjugate base, while the base gains a proton to form its conjugate acid. The reaction is reversible, maintaining equilibrium determined by the acid and base dissociation constants (Kₐ and Kᵦ). A special case of this is neutralization, where equal amounts of acid and base form a neutral salt. Acid-base reactions can be defined by different theories: 

1. **Arrhenius**: Acids release H₃O⁺ ions in water; bases release OH⁻ ions.
2. **Brønsted-Lowry**: Acids are proton donors; bases are proton acceptors.
3. **Lewis**: Acids are electron-pair acceptors; bases are electron-pair donors. 

These definitions provide frameworks for understanding the nature and outcomes of acid-base interactions.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
7,groq,groq/openai/gpt-oss-120b,Precipitation Reaction,"A precipitation reaction involves forming a solid in a solution or within another solid during a chemical reaction, occurring when ion concentrations surpass the solubility limit, resulting in an insoluble salt. This reaction can be facilitated by adding a precipitating agent or removing the solvent. Rapid processes yield amorphous or microcrystalline residues, while slower ones produce single crystals, which can also form via recrystallization from microcrystalline salts.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
8,groq,groq/openai/gpt-oss-120b,Redox/Oxidation-Reduction,Sodium metal reacts with chlorine gas to form sodium chloride. Sodium is oxidized from 0 to +1. Chlorine is reduced from 0 to -1. Sodium is the reducing agent and chlorine is the oxidizing agent.,"['[Na]', 'ClCl', '[Na+].[Cl-]']",0.0,['[Na].[Na].ClCl>>[Na+].[Cl-].[Na+].[Cl-]'],0.0,['[Na].[ClCl]>>[Na+].[Cl-]'],0.0,['[Na:1].[Na:2].[Cl:3][Cl:4]>>[Na+:1].[Cl-:3].[Na+:2].[Cl-:4]'],0.0
